Ville,Score
Antony,24
Argenteuil,19
Asnières-sur-Seine,9
Aubervilliers,23
Aulnay-sous-Bois,21
Aumône,22
Bagneux,7
Bezons,7
Blanc-Mesnil,19
Bobigny,14
Bondy,19
Boulogne-Billancourt,27
Brie-Comte-Robert,15
Brunoy,27
Cachan,9
Cergy,26
Champigny-sur-Marne,45
Chelles,9
Chennevières-sur-Marne,12
Chessy,29
Choisy-le-Roi,34
Clichy,21
Clichy-sous-Bois,33
Colombes,27
Compiègne,15
Conflans-Sainte-Honorine,8
Courbevoie,18
Courneuve,17
Crépy-en-Valois,16
Créteil,46
Domont,15
Drancy,9
Ermont,29
Ferté-sous-Jouarre,14
Fitz-James,30
Fontenay-sous-Bois,11
Garges-lès-Gonesse,14
Gennevilliers,15
Gonesse,29
Haÿ-les-Roses,27
Herblay-sur-Seine,12
Issy-les-Moulineaux,28
Ivry-sur-Seine,27
Lagny-sur-Marne,15
Levallois-Perret,18
Livry-Gargan,23
Longjumeau,9
Maisons-Alfort,24
Margny-lès-Compiègne,21
Meaux,24
Mitry-Mory,19
Montataire,12
Montmorency,13
Montreuil,32
Montrouge,31
Méru,10
Nanterre,24
Neuilly-sur-Marne,14
Nogent-sur-Marne,18
Nogent-sur-Oise,10
Noisy-le-Grand,37
Noisy-le-Sec,18
Pantin,19
Paris,465
Persan,23
Poissy,18
Pontault-Combault,20
Pré-Saint-Gervais,1
Puteaux,10
Roissy-en-France,2
Rosny-sous-Bois,17
Rueil-Malmaison,23
Saint-Denis,21
Saint-Germain-en-Laye,17
Saint-Gratien,13
Saint-Maur-des-Fossés,14
Saint-Maximin,12
Saint-Ouen-sur-Seine,17
Sarcelles,14
Sartrouville,30
Savigny-sur-Orge,25
Sevran,8
Stains,12
Sucy-en-Brie,23
Taverny,23
Torcy,29
Tremblay-en-France,17
Versailles,28
Villejuif,28
Villeneuve-Saint-Georges,11
Vincennes,14
Viry-Châtillon,15
Vitry-sur-Seine,13
Épinay-sur-Seine,17
