Ville;Nombre d’avis négatif;Nombre d’avis Positif;Nombre d’avis Neutre
Antony;15;8;1
Argenteuil;15;3;1
Asnières-sur-Seine;6;3;0
Aubervilliers;12;10;1
Aulnay-sous-Bois;16;5;0
Aumône;17;5;0
Bagneux;4;3;0
Bezons;5;2;0
Blanc-Mesnil;6;13;0
Bobigny;10;4;0
Bondy;10;9;0
Boulogne-Billancourt;11;15;0
Brie-Comte-Robert;10;5;0
Brunoy;14;12;1
Cachan;7;2;0
Cergy;20;6;0
Champigny-sur-Marne;25;20;0
Chelles;4;4;1
Chennevières-sur-Marne;10;2;0
Chessy;17;11;1
Choisy-le-Roi;21;10;3
Clichy;12;9;0
Clichy-sous-Bois;17;16;0
Colombes;23;4;0
Compiègne;10;5;0
Conflans-Sainte-Honorine;4;4;0
Courbevoie;14;3;1
Courneuve;11;5;1
Crépy-en-Valois;7;8;1
Créteil;24;19;3
Domont;6;9;1
Drancy;6;3;0
Ermont;23;5;0
Ferté-sous-Jouarre;10;4;0
Fitz-James;11;18;1
Fontenay-sous-Bois;7;4;0
Garges-lès-Gonesse;5;9;0
Gennevilliers;9;6;0
Gonesse;18;11;0
Haÿ-les-Roses;7;20;0
Herblay-sur-Seine;7;4;1
Issy-les-Moulineaux;19;8;1
Ivry-sur-Seine;14;12;1
Lagny-sur-Marne;9;6;0
Levallois-Perret;8;9;1
Livry-Gargan;15;8;0
Longjumeau;5;3;1
Maisons-Alfort;9;14;1
Margny-lès-Compiègne;13;8;0
Meaux;17;4;3
Mitry-Mory;13;6;0
Montataire;5;6;1
Montmorency;8;4;1
Montreuil;14;17;1
Montrouge;19;10;2
Méru;6;3;1
Nanterre;16;8;0
Neuilly-sur-Marne;10;4;0
Nogent-sur-Marne;12;6;0
Nogent-sur-Oise;4;6;0
Noisy-le-Grand;20;17;0
Noisy-le-Sec;13;5;0
Pantin;10;9;0
Paris;243;209;13
Persan;12;9;2
Poissy;13;4;1
Pontault-Combault;13;7;0
Pré-Saint-Gervais;1;0;0
Puteaux;4;6;0
Roissy-en-France;1;1;0
Rosny-sous-Bois;10;7;0
Rueil-Malmaison;14;8;1
Saint-Denis;10;9;2
Saint-Germain-en-Laye;11;6;0
Saint-Gratien;6;6;1
Saint-Maur-des-Fossés;6;7;1
Saint-Maximin;3;9;0
Saint-Ouen-sur-Seine;11;6;0
Sarcelles;9;5;0
Sartrouville;18;11;1
Savigny-sur-Orge;16;8;1
Sevran;2;6;0
Stains;8;4;0
Sucy-en-Brie;12;11;0
Taverny;10;12;1
Torcy;17;12;0
Tremblay-en-France;11;6;0
Versailles;15;12;1
Villejuif;22;6;0
Villeneuve-Saint-Georges;6;5;0
Vincennes;8;5;1
Viry-Châtillon;9;6;0
Vitry-sur-Seine;10;3;0
Épinay-sur-Seine;11;5;1
